default,wiek,pensja,plec,stan_cywilny,wielkosc_miejscowosci,wyksztalcenie,czy_splacony
FALSE,32,4271.12,M,singiel,do_200tys,srednie,czesciowo
FALSE,36,4380.2,K,singiel,do_1mln,wyzsze,czesciowo
TRUE,31,3788.23,M,singiel,do_200tys,wyzsze,czesciowo
FALSE,43,2253.36,K,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,37,4493.2,K,singiel,do_1mln,wyzsze,czesciowo
FALSE,31,3114.06,K,singiel,do_1mln,wyzsze,czesciowo
FALSE,37,3092.33,M,po_slubie,do_100tys,wyzsze,czesciowo
FALSE,39,2509.07,K,singiel,do_50tys,srednie,wcale
FALSE,38,3417.79,M,po_slubie,do_200tys,srednie,czesciowo
FALSE,33,2687.43,M,singiel,do_100tys,srednie,czesciowo
FALSE,43,2563.05,K,singiel,do_500tys,srednie,czesciowo
FALSE,37,2970.19,M,singiel,do_1mln,srednie,czesciowo
FALSE,32,3500.82,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,24,2205.38,K,po_slubie,do_500tys,srednie,czesciowo
FALSE,41,2261.18,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,35,2419.04,K,po_slubie,do_200tys,wyzsze,czesciowo
FALSE,35,2860.73,M,po_slubie,do_50tys,srednie,czesciowo
FALSE,40,4552.63,K,po_slubie,do_1mln,podstawowe,czesciowo
FALSE,39,2732.15,K,singiel,do_200tys,srednie,czesciowo
FALSE,38,3000.43,M,singiel,do_1mln,srednie,czesciowo
FALSE,40,6214.45,K,po_slubie,do_100tys,wyzsze,czesciowo
FALSE,39,2944.58,K,po_slubie,do_500tys,srednie,czesciowo
FALSE,35,2511.25,M,po_slubie,do_50tys,srednie,czesciowo
FALSE,25,2248.63,M,po_slubie,do_1mln,podstawowe,czesciowo
FALSE,38,4911.96,M,po_slubie,do_200tys,srednie,czesciowo
TRUE,35,3279.06,M,po_slubie,do_500tys,srednie,czesciowo
FALSE,34,3981.44,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,28,2665.14,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,33,2606.27,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,37,2780.04,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,42,5232.94,K,po_slubie,do_50tys,srednie,czesciowo
FALSE,34,2420.88,M,singiel,do_500tys,wyzsze,czesciowo
FALSE,37,3242.46,K,po_slubie,do_100tys,srednie,czesciowo
FALSE,35,2496.83,K,singiel,do_500tys,wyzsze,czesciowo
FALSE,28,2777.34,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,33,2740.16,K,singiel,do_1mln,srednie,czesciowo
TRUE,33,3848.3,M,singiel,do_500tys,wyzsze,czesciowo
TRUE,35,4217.67,K,singiel,do_1mln,podstawowe,czesciowo
FALSE,41,2365.04,M,singiel,do_1mln,podstawowe,czesciowo
FALSE,39,3839.05,M,singiel,do_100tys,srednie,czesciowo
FALSE,34,5382.26,K,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,34,4039.09,M,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,38,2582.41,M,singiel,do_500tys,wyzsze,wcale
FALSE,38,4182.06,M,singiel,do_500tys,wyzsze,czesciowo
FALSE,32,2486.84,K,wdowiec,do_1mln,wyzsze,czesciowo
FALSE,31,3809.33,M,po_slubie,do_50tys,podstawowe,czesciowo
FALSE,37,2846.26,M,po_slubie,do_1mln,srednie,czesciowo
TRUE,39,4451.32,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,34,2729.8,K,po_slubie,do_1mln,srednie,czesciowo
TRUE,39,2775.49,M,po_slubie,do_500tys,wyzsze,czesciowo
FALSE,37,2413.81,K,po_slubie,do_200tys,srednie,czesciowo
